,cost,rooms,area,type,zipCode,bedrooms,baths,garage,etage,balconyOrTerrace,garden,kitchen,guest_toilet,lift,basement,no_stairs_access,currently_rented
0,1295000,4.5,104.0,Dachgeschoss,81827,,1,1,2,True,True,True,True,False,True,False,True
0,360000,1.5,37.0,Etagenwohnung,80807,1,1,,3,False,False,True,False,True,True,False,True
0,319825,1.0,21.08,,81677,,1,,2,True,False,False,False,True,True,False,False
0,985000,2.0,87.0,Etagenwohnung,81925,,1,,4,True,False,False,True,True,True,False,False
0,394500,2.0,41.0,Etagenwohnung,80807,1,1,,1,True,False,True,False,True,True,False,True
0,2290000,4.0,176.0,Penthouse,80638,2,2,2,3,True,False,True,True,True,True,False,False
0,720000,3.0,74.19,Etagenwohnung,80807,1,2,2,3,True,False,True,False,True,True,False,False
0,350000,2.0,42.0,Etagenwohnung,81673,1,1,1,4,True,False,True,False,True,False,False,True
0,659000,2.0,51.0,Etagenwohnung,80333,1,1,,1,True,False,False,False,False,True,False,True
0,425000,2.0,53.13,Etagenwohnung,81827,1,1,1,,True,False,False,False,True,True,False,True
0,349900,1.0,35.7,Etagenwohnung,81241,1,1,1,6,False,False,True,False,True,True,False,False
0,1700000,4.0,125.0,Etagenwohnung,80538,3,1,1,3,True,False,False,True,True,True,False,False
0,1500000,3.0,98.0,Etagenwohnung,81925,3,2,1,1,True,False,True,True,True,True,True,False
0,548000,2.0,40.69,Erdgeschosswohnung,80807,1,1,1,0,False,False,False,False,True,False,True,False
0,1071000,3.5,133.0,Dachgeschoss,80993,2,1,1,,True,False,True,True,True,True,False,False
0,1490000,4.0,177.0,Dachgeschoss,81477,3,3,1,2,True,True,True,False,False,True,False,False
0,950000,4.0,101.0,Dachgeschoss,80689,,,1,4,True,False,True,False,True,False,False,True
0,279000,1.0,34.4,,80992,1,1,,4,True,False,True,False,False,True,False,True
0,610500,2.0,62.81,Erdgeschosswohnung,81827,1,1,1,,True,True,True,False,False,False,True,True
0,3295000,2.5,96.0,Etagenwohnung,80469,2,,1,9,False,False,True,True,True,True,True,False
0,938000,4.0,82.0,,81735,,2,1,1,True,False,True,False,True,False,False,True
0,549000,2.0,54.0,Etagenwohnung,80639,1,1,1,1,True,False,True,False,True,False,False,False
0,870000,3.0,88.0,Erdgeschosswohnung,80639,2,1,,0,True,True,False,True,True,True,False,False
0,650000,2.0,91.87,Terrassenwohnung,81545,1,1,1,,False,True,False,False,False,False,False,True
0,519000,3.0,61.23,Etagenwohnung,80939,,1,1,1,True,False,True,False,False,True,False,False
0,490000,4.0,94.0,Dachgeschoss,81737,3,,1,6,True,False,True,False,True,False,False,False
0,6300000,5.0,262.2,Etagenwohnung,81925,3,2,3,1,True,True,True,True,True,True,False,False
0,2050000,4.5,148.0,Dachgeschoss,80637,2,1,,4,True,False,False,True,True,True,False,False
0,586000,3.0,69.6,Etagenwohnung,81677,2,1,,3,False,False,True,False,True,False,False,False
0,595000,3.0,75.0,,81243,2,1,1,4,True,False,False,False,False,True,False,True
0,800000,3.0,87.0,Etagenwohnung,81667,2,1,,4,True,False,False,False,True,True,False,True
0,4550000,5.0,152.0,Maisonette,80539,3,3,,1,False,False,True,True,True,True,False,False
0,1899900,3.5,112.58,Etagenwohnung,81545,2,2,2,1,True,False,False,False,False,True,False,False
0,839000,3.0,89.6,Etagenwohnung,81377,,2,1,3,True,False,True,True,True,True,True,False
0,875655,3.0,107.0,Dachgeschoss,81737,1,1,1,3,True,False,True,True,False,True,False,False
0,749999,3.0,71.0,Erdgeschosswohnung,80335,2,1,,,True,False,True,False,True,True,False,True
0,550000,2.0,63.0,Maisonette,81929,1,1,1,3,True,False,True,False,False,True,False,False
0,3050000,7.0,253.0,Sonstige,81245,2,2,2,,True,True,True,True,True,True,True,False
0,699000,3.0,85.0,Etagenwohnung,81476,,1,,5,True,False,True,False,True,True,True,False
0,1049000,3.5,93.76,Dachgeschoss,81249,,2,1,3,True,True,True,True,True,True,True,True
0,299000,4.0,94.0,Etagenwohnung,80638,,,,2,False,False,True,False,True,True,True,False
0,355000,1.0,35.18,Etagenwohnung,81241,1,1,1,2,True,False,True,False,True,True,False,True
0,750000,2.5,76.3,Etagenwohnung,80805,2,1,1,3,True,True,True,False,True,True,False,False
0,250000,1.0,34.0,,80686,1,1,,1,True,False,True,False,True,True,False,True
0,2975000,5.0,215.0,Terrassenwohnung,81925,3,2,2,0,True,True,True,False,True,True,True,False
0,540000,3.0,70.0,,80807,2,1,,1,False,False,False,False,False,False,False,True
0,1650000,3.5,110.0,Etagenwohnung,80796,0,1,D,3,True,False,True,True,True,False,False,False
0,225000,1.0,36.0,,81477,,,,,False,False,False,False,False,False,False,False
0,308000,1.0,32.6,Etagenwohnung,80687,1,1,,,True,False,True,False,True,True,False,False
0,995000,2.5,73.15,Erdgeschosswohnung,80796,,,1,,True,True,True,False,True,True,False,False
0,828000,3.0,90.32,Etagenwohnung,81739,2,1,1,1,True,True,False,True,True,True,True,False
0,1539000,4.0,127.0,Erdgeschosswohnung,81247,3,2,1,,False,False,False,False,True,True,True,False
0,875000,2.5,93.0,Etagenwohnung,80796,1,1,1,1,True,False,True,True,False,True,False,False
0,924900,2.0,74.0,Erdgeschosswohnung,80803,1,1,,,True,True,True,False,True,False,True,False
0,2170000,7.0,239.97,Penthouse,81476,4,2,4,2,True,True,True,True,True,True,False,False
0,890000,4.0,93.7,Etagenwohnung,80638,3,1,1,1,True,True,False,True,True,True,True,False
0,279000,1.0,35.0,Erdgeschosswohnung,80807,1,1,1,0,True,True,False,False,False,True,False,False
0,395000,1.5,40.0,Etagenwohnung,80797,1,1,,3,True,False,True,False,True,False,False,False
0,299000,1.0,30.0,Etagenwohnung,80797,,,,3,True,False,True,False,True,True,False,False
0,618000,2.0,58.0,Erdgeschosswohnung,80797,1,1,,,True,True,True,False,True,True,False,False
0,816000,4.0,103.0,,81377,3,2,1,2,True,False,True,True,True,True,False,False
0,249000,1.0,31.63,Hochparterre,81827,1,1,1,,True,False,True,False,False,True,False,False
0,1490000,3.0,97.0,Etagenwohnung,81545,2,2,2,1,False,False,False,False,True,True,True,True
0,950000,4.0,81.89,Maisonette,81247,3,2,1,,True,True,False,True,False,True,True,False
0,249900,1.0,23.0,Etagenwohnung,81547,1,1,,4,True,False,True,False,True,False,False,False
0,650000,2.0,61.79,Etagenwohnung,80638,1,1,1,1,True,False,False,False,False,True,False,False
0,994800,3.0,97.7,Etagenwohnung,81479,2,1,,1,True,False,True,True,True,True,False,False
0,1600000,6.0,176.0,Etagenwohnung,81667,5,2,,4,True,False,False,False,True,True,False,True
0,660000,2.5,71.0,Dachgeschoss,80993,1,1,1,2,True,False,True,False,False,True,False,False
0,770000,3.0,88.1,Erdgeschosswohnung,80335,,1,2,0,True,True,True,True,True,True,True,True
0,495000,2.0,48.0,Etagenwohnung,80634,1,1,1,5,True,False,True,False,True,False,False,False
0,798000,2.5,74.0,Erdgeschosswohnung,81927,1,1,1,,True,False,False,False,True,True,False,False
0,438000,1.0,33.0,,80799,1,1,,,False,False,False,False,False,True,False,False
0,730000,3.0,90.29,Etagenwohnung,80804,2,1,,1,True,False,False,False,True,False,False,False
0,719500,2.0,66.29,Etagenwohnung,81541,1,1,,2,False,False,False,False,False,True,False,False
0,4125000,3.5,165.0,Dachgeschoss,80799,2,1,T,,True,False,False,False,True,False,False,False
0,758000,4.5,104.0,Etagenwohnung,81829,,,,4,True,False,False,False,False,True,False,False
0,1480000,5.0,196.0,Erdgeschosswohnung,81925,,,T,,True,True,True,False,True,True,False,False
0,399000,1.0,33.5,Etagenwohnung,80802,1,1,,5,False,False,True,False,False,True,False,False
0,830000,3.0,110.0,Erdgeschosswohnung,81549,2,1,,0,True,False,False,False,False,False,False,False
0,642500,3.0,64.3,Etagenwohnung,81679,2,1,,1,True,False,True,False,True,False,False,False
0,1120000,2.0,61.17,Hochparterre,80539,1,1,T,,True,True,True,False,True,True,False,False
0,1900000,6.0,151.7,Erdgeschosswohnung,80333,4,4,3,,False,False,True,False,False,False,False,True
0,335000,2.0,48.0,Erdgeschosswohnung,80939,,1,1,,True,True,True,False,False,True,False,False
0,630000,2.0,51.0,Etagenwohnung,81927,,1,1,1,True,False,True,False,False,True,False,False
0,392000,2.0,49.0,Etagenwohnung,81245,,1,,2,False,True,True,False,False,True,False,False
0,1300000,4.0,150.0,Maisonette,81549,,2,1,1,False,False,False,False,False,False,False,False
0,1199000,4.0,138.0,Terrassenwohnung,81545,,2,1,0,True,True,True,True,False,False,False,False
0,850000,4.0,87.78,Etagenwohnung,81737,,,1,3,True,False,True,True,True,True,False,False
0,483000,3.0,63.5,Dachgeschoss,81673,2,1,,5,False,False,False,False,False,False,False,True
0,798000,2.0,81.85,Dachgeschoss,80335,1,1,,4,False,False,False,False,False,False,False,True
0,765000,4.0,98.48,Etagenwohnung,81677,3,1,T,5,False,False,True,False,True,False,False,False
0,1250000,4.0,97.0,Etagenwohnung,80769,3,1,,2,True,False,True,False,True,True,True,False
0,2644530,4.0,147.0,Dachgeschoss,80634,3,2,2,4,True,False,False,True,True,True,False,False
0,785000,3.0,116.0,Etagenwohnung,81735,2,1,1,4,True,False,True,True,True,True,True,False
0,770000,3.0,68.0,,80796,1,1,2,3,True,False,True,False,True,True,False,True
0,468000,3.0,77.8,,85757,2,1,1,3,True,False,True,True,True,True,True,False
0,479000,2.0,32.17,Etagenwohnung,81675,1,1,,1,False,True,True,False,True,True,False,False
0,626000,1.0,32.0,Etagenwohnung,80538,1,1,,1,True,True,False,False,True,True,False,False
0,389000,1.0,44.94,Dachgeschoss,81545,1,1,,3,True,False,True,False,False,False,False,False
0,628000,3.0,73.97,Etagenwohnung,80993,2,1,1,3,True,False,False,False,True,False,False,False
0,563000,2.0,65.0,,81827,,,,,True,False,False,False,False,False,False,False
0,849000,3.5,127.0,Dachgeschoss,81245,2,2,1,3,True,False,False,True,False,True,False,False
0,725000,2.0,76.0,,81545,1,1,1,,False,False,True,False,True,True,False,False
0,629000,2.0,59.0,Etagenwohnung,81675,1,1,1,2,False,False,True,False,True,True,False,False
0,575000,1.0,41.0,Hochparterre,80469,,1,,0,True,False,True,False,True,True,False,False
0,750000,1.0,49.0,Etagenwohnung,80333,,,,1,True,False,True,False,True,True,False,True
0,668850,2.0,67.0,Etagenwohnung,81345,2,1,1,5,True,False,False,False,True,True,False,False
0,499000,3.0,66.14,Etagenwohnung,80686,2,1,2,1,True,False,False,False,False,True,False,True
0,2550000,5.0,177.0,Dachgeschoss,80637,4,2,,4,True,True,True,True,True,True,False,True
0,199900,1.0,23.0,Etagenwohnung,81547,,1,,4,True,False,True,False,True,False,False,True
0,517500,2.0,61.0,Etagenwohnung,81927,1,1,1,2,True,False,False,False,False,True,False,False
0,799000,4.0,98.0,Etagenwohnung,81475,3,1,1,2,True,True,False,True,True,True,False,False
0,595000,3.0,87.5,Sonstige,81737,2,1,1,5,True,False,True,False,True,True,True,True
0,740000,3.0,88.92,Etagenwohnung,81927,2,1,,1,True,False,True,False,True,True,False,True
0,479000,3.0,70.0,Etagenwohnung,81673,2,,,6,True,False,False,False,True,True,False,True
0,719000,4.0,87.0,Etagenwohnung,81477,,1,,1,True,False,False,True,False,True,False,False
0,615000,3.0,107.0,Etagenwohnung,81825,2,1,1,,True,False,False,True,False,True,False,False
0,945000,4.0,106.71,Etagenwohnung,81669,3,2,,3,True,False,False,True,False,True,False,False
0,439000,2.0,50.0,Erdgeschosswohnung,80807,1,1,,1,True,False,False,False,False,True,False,False
0,549000,2.5,62.0,Etagenwohnung,81735,,,,2,True,True,False,False,False,True,False,False
0,1850000,5.0,126.4,Etagenwohnung,80538,2,2,,3,False,False,False,True,True,True,False,False
0,270000,1.0,35.36,,80995,1,1,,3,False,False,True,False,True,False,False,True
0,365000,1.0,30.2,Etagenwohnung,81667,,1,1,4,False,False,True,False,True,True,False,False
0,246000,1.0,30.0,Etagenwohnung,81735,,,1,1,True,False,False,False,True,True,False,False
0,795000,3.0,84.0,,81927,2,1,1,8,True,False,False,False,True,True,False,False
0,525000,3.0,70.28,Etagenwohnung,80997,2,1,A,0,True,False,True,True,False,True,False,True
0,299000,1.0,33.0,Etagenwohnung,81369,1,1,,2,True,True,False,False,True,True,False,False
0,649000,3.0,86.94,Etagenwohnung,81927,1,1,T,3,True,False,False,True,True,True,False,False
0,1599000,3.5,185.0,Etagenwohnung,80796,2,1,2,3,True,True,True,True,False,True,False,False
0,450000,2.5,70.0,Etagenwohnung,81475,,,,,True,False,False,False,True,False,False,False
0,729900,3.0,73.0,Dachgeschoss,81243,2,1,1,3,True,False,False,True,True,True,False,False
0,1360000,2.5,85.0,Etagenwohnung,80538,1,1,,3,True,True,True,False,True,True,False,False
0,462000,2.0,61.61,Erdgeschosswohnung,81476,1,1,,,True,True,False,False,False,True,False,False
0,655000,3.5,88.0,,81476,2,1,1,,True,True,False,False,False,True,False,False
0,3635000,3.0,177.0,,80469,2,2,1,,True,False,False,False,True,True,False,False
0,415000,2.0,55.0,Etagenwohnung,81737,1,1,1,3,True,False,True,False,False,False,False,False
0,305000,2.0,42.1,Dachgeschoss,81377,2,1,,3,False,True,True,False,False,True,False,True
0,947000,3.0,95.0,Etagenwohnung,80639,2,1,1,,True,False,False,False,True,True,False,True
0,425000,2.0,55.0,Etagenwohnung,81927,1,1,1,6,True,False,False,False,True,True,False,True
0,3790000,5.0,186.0,Dachgeschoss,80336,4,2,1,4,True,True,True,True,True,True,False,True
0,820000,3.0,80.0,Erdgeschosswohnung,85774,2,2,1,,True,True,False,False,True,True,True,False
0,1888000,4.0,142.95,Etagenwohnung,81247,,,T,1,True,False,False,False,True,False,False,False
0,390000,1.0,36.0,Etagenwohnung,81541,,1,,5,True,False,True,False,True,True,False,True
0,785000,3.0,104.0,Hochparterre,81543,2,1,1,0,True,False,False,True,False,True,False,False
0,462000,2.0,53.0,Etagenwohnung,80997,1,1,,,False,False,False,False,False,True,False,True
0,680000,3.0,75.0,Maisonette,81927,2,1,,5,True,True,True,True,True,True,True,False
0,687900,2.0,69.84,Terrassenwohnung,81245,1,1,1,0,True,False,False,False,True,True,False,False
0,789000,3.0,71.0,Etagenwohnung,81373,2,1,,1,True,True,False,False,True,True,True,False
0,460000,2.0,55.0,Terrassenwohnung,81829,1,1,1,0,True,True,False,False,False,True,False,False
0,359000,1.0,33.0,Etagenwohnung,80687,1,1,,1,True,False,True,False,True,True,True,False
0,1320000,4.0,119.0,Etagenwohnung,81369,2,1,,3,True,False,False,False,True,True,False,True
0,2950000,3.5,157.4,Etagenwohnung,80336,,1,1,,True,True,True,True,False,False,False,False
0,4250000,6.0,385.0,Erdgeschosswohnung,80538,4,4,4,0,False,False,True,True,True,False,False,False
0,899000,3.0,104.0,Etagenwohnung,80809,,,,1,True,False,True,False,True,False,False,False
0,699000,3.0,76.81,Etagenwohnung,80335,2,1,1,1,False,False,False,False,False,False,False,True
0,459000,2.0,65.0,Erdgeschosswohnung,81673,1,1,,0,True,True,True,False,True,True,False,True
0,435000,2.5,54.0,Erdgeschosswohnung,80997,1,1,,0,True,True,False,False,False,True,False,False
0,885000,2.0,94.75,,81479,,,T,,True,False,True,False,False,False,False,False
0,650000,4.0,91.0,Erdgeschosswohnung,81549,,,1,,True,False,True,False,False,False,False,False
0,760000,3.0,68.0,,80336,2,2,,3,True,False,False,True,False,False,False,True
0,369000,1.5,52.0,Etagenwohnung,81735,,1,,2,True,False,True,False,True,True,False,False
0,1149900,4.0,109.98,Maisonette,81737,,2,1,1,True,False,False,False,False,True,False,False
0,350000,1.0,32.0,Etagenwohnung,81925,1,1,,2,True,False,True,False,True,True,False,True
0,498000,2.0,50.0,Penthouse,81671,,1,1,3,True,False,True,False,True,True,False,True
0,575000,3.0,81.0,Etagenwohnung,80993,2,1,1,1,True,False,True,True,True,True,True,True
0,265000,1.0,38.33,Etagenwohnung,81543,,1,,,True,False,False,False,False,True,False,True
0,328000,1.0,24.3,Etagenwohnung,80995,,1,1,1,True,False,True,False,False,True,False,False
0,525000,2.0,70.23,Etagenwohnung,80687,1,,1,4,True,False,True,False,False,True,False,False
0,810000,3.0,77.0,Etagenwohnung,80636,,1,T,3,True,True,True,True,True,True,True,False
0,950000,3.0,100.86,Etagenwohnung,80992,2,2,1,1,True,False,True,True,True,True,False,False
0,415000,3.0,60.0,Maisonette,80997,,1,1,0,True,False,True,False,False,False,False,False
0,1275000,3.0,95.85,Etagenwohnung,81669,2,2,1,5,False,False,False,False,True,False,False,False
0,525000,2.0,65.7,Etagenwohnung,81241,1,1,1,1,False,False,False,False,True,False,False,False
0,448000,3.0,80.01,,81245,2,1,1,,True,False,True,True,True,True,False,False
0,850000,2.0,78.0,Terrassenwohnung,81925,1,1,1,4,True,False,True,False,True,True,False,False
0,220000,1.0,28.0,Etagenwohnung,80807,1,1,,4,True,False,True,False,False,False,False,False
0,528750,2.0,47.0,Erdgeschosswohnung,81479,1,1,1,0,True,True,True,False,True,True,False,True
0,595000,2.0,56.0,Etagenwohnung,81375,,1,1,1,True,False,False,False,False,True,False,False
0,520000,2.5,74.89,Etagenwohnung,81369,2,1,1,,False,False,True,False,True,True,False,False
0,8350000,5.0,253.9,Penthouse,81679,4,3,2,,True,False,True,False,True,True,False,False
0,845000,3.0,86.0,Erdgeschosswohnung,80939,,2,1,,True,False,True,True,True,True,False,False
0,1490000,4.0,177.0,Dachgeschoss,81479,3,3,1,2,True,True,True,False,False,True,False,False
0,1350000,3.0,89.0,Dachgeschoss,81541,2,1,,4,True,False,False,False,False,False,False,False
0,835000,3.0,84.0,Etagenwohnung,80803,2,1,1,6,True,False,False,True,True,True,True,True
0,201400,1.0,23.0,Etagenwohnung,81479,,1,1,1,True,False,False,False,False,True,False,True
0,725000,3.0,85.0,Etagenwohnung,81243,2,1,1,2,False,False,True,False,True,True,False,False
0,579000,2.0,62.0,Etagenwohnung,81373,1,1,,1,True,False,True,False,True,True,True,False
0,3300000,5.0,133.0,Etagenwohnung,80539,3,2,,2,True,False,True,True,True,True,False,False
0,1095000,4.0,150.0,Maisonette,81549,3,2,,,True,False,False,True,True,True,False,False
0,429000,3.0,72.0,Etagenwohnung,80993,2,1,1,4,True,False,True,False,True,True,False,False
0,1569000,3.0,106.01,Etagenwohnung,81927,2,2,1,1,True,False,True,False,True,True,False,False
0,744900,1.0,47.94,Dachgeschoss,80336,1,1,,6,False,False,True,False,True,False,False,False
0,889000,4.0,116.0,Etagenwohnung,81669,2,2,1,6,True,False,True,False,True,True,False,True
0,1150000,4.0,130.0,Erdgeschosswohnung,81677,1,2,1,1,True,False,True,True,True,True,False,False
0,420000,1.5,42.0,Etagenwohnung,80639,1,1,,1,True,False,False,False,True,False,False,False
0,477000,2.0,52.0,,81827,,,,,True,False,False,False,False,False,False,False
0,799000,3.0,99.0,Erdgeschosswohnung,81827,2,2,1,0,True,True,False,True,False,True,False,True
0,1075000,2.5,81.0,Etagenwohnung,80805,1,1,1,5,True,False,True,True,False,True,False,True
0,479000,2.0,58.77,Etagenwohnung,81379,1,1,1,1,True,False,True,False,True,True,False,False
0,2380000,5.0,187.0,,81677,4,2,2,,True,False,True,True,True,True,False,False
0,980000,4.0,144.0,Terrassenwohnung,80809,3,2,1,0,True,True,True,True,True,True,False,False
0,1490000,4.0,119.0,Etagenwohnung,80337,3,2,,1,True,False,False,True,True,True,False,False
0,649000,3.0,74.0,Etagenwohnung,80686,,1,,,True,False,True,False,True,True,False,False
0,440000,1.0,42.0,Etagenwohnung,80339,,1,1,3,True,False,True,False,True,True,False,False
0,1100000,3.0,116.0,Dachgeschoss,80997,2,2,1,2,True,False,False,False,False,True,False,True
0,460000,2.0,53.7,Etagenwohnung,81925,,1,1,4,True,False,False,False,True,False,False,False
0,328000,1.0,44.0,Erdgeschosswohnung,80993,1,1,T,,True,True,True,False,False,False,True,False
0,1690000,4.5,144.0,Etagenwohnung,81667,,,1,3,True,False,True,True,False,True,False,False
0,550000,2.0,58.0,Etagenwohnung,80333,,1,1,4,True,False,True,False,True,True,True,True
0,995000,3.0,77.0,Etagenwohnung,81541,2,1,,3,True,False,True,False,True,True,False,False
0,450000,2.0,58.0,Etagenwohnung,80637,,,,,True,False,True,False,True,True,False,False
0,820000,2.0,64.0,Etagenwohnung,80336,,,T,,False,False,True,False,False,False,False,False
